,driver_standings)_id,race_id,driver_id,points,position,position_text,wins
1206,1297,76,8,27.0,2,2,2
1207,1298,76,15,26.0,3,3,0
1208,1299,76,13,2.0,16,16,0
1209,1300,76,23,17.0,6,6,0
1210,1301,76,35,5.0,13,13,0
1211,1302,76,39,0.0,19,19,0
1212,1303,76,33,0.0,18,18,0
1213,1304,76,40,0.0,20,20,0
1214,1305,76,2,17.0,5,5,0
1215,1306,76,30,12.0,9,9,0
1216,1307,76,27,0.0,21,21,0
1217,1308,76,37,4.0,14,14,0
1218,1309,76,25,6.0,12,12,0
1219,1310,76,24,1.0,17,17,0
1220,1311,77,21,17.0,6,6,1
1221,1312,77,22,15.0,10,10,0
1222,1313,77,4,59.0,1,1,4
1223,1314,77,14,15.0,11,11,0
1224,1315,77,17,18.0,5,5,0
1225,1316,77,31,16.0,9,9,0
1226,1317,77,32,3.0,15,15,0
1227,1318,77,8,27.0,2,2,2
1228,1319,77,15,27.0,3,3,0
1229,1320,77,13,2.0,16,16,0
1230,1321,77,23,17.0,7,7,0
1231,1322,77,35,5.0,13,13,0
1232,1323,77,39,0.0,20,20,0
1233,1324,77,33,0.0,18,18,0
1234,1325,77,40,0.0,21,21,0
